session_uid,subject_id,session_number,is_practice,source_file,matlab_variable,sex_recorded,n_stored_trials,n_responses,n_counter_raw,feedback_condition,planned_signaled_code,sigma,stimulus_variance,n_hazard_blocks,hazard_block_lengths,Hset_raw,Hset_corrected,tau_raw,hazard_reciprocal_corrected,Hset_reciprocal_corrected,Hset_schedule_matches,reward_raw,penalty_raw,sessionstart_matlab_datenum,session_ind_file_raw,planned_parameters_raw,cp_matches_source_switch,r_matches_source_run,source_left_x,source_left_y,source_right_x,source_right_y
AC:data1,AC,1,False,data/Glaze_Triangles/data_2AFC/raw_data/data_AC.mat,data1,f,2000,2000,2000,signaled,1,10.0,100.0,5,"(400, 400, 400, 400, 400)","[[0.7, 0.1, 0.8999999999999999, 0.3, 0.5], [0.7, 0.1, 0.8999999999999999, 0.3, 0.5]]","[[0.7, 0.1, 0.8999999999999999, 0.3, 0.5], [0.7, 0.1, 0.8999999999999999, 0.3, 0.5]]","[[1.4285714285714286, 10.0, 1.1111111111111112, 3.3333333333333335, 2.0], [1.4285714285714286, 10.0, 1.1111111111111112, 3.3333333333333335, 2.0]]",False,False,True,,,,7,"{'tau': array([[ 1.42857143, 10.        ,  1.11111111,  3.33333333,  2.        ],
       [ 1.42857143, 10.        ,  1.11111111,  3.33333333,  2.        ]]), 'signaled': 1, 'sigma': 10, 'Hset': array([[0.7, 0.1, 0.9, 0.3, 0.5],
       [0.7, 0.1, 0.9, 0.3, 0.5]]), 'reward': array([], dtype=float64), 'penalty': array([], dtype=float64)}",True,True,34.5,27.0,64.5,27.0
AC:data2,AC,2,False,data/Glaze_Triangles/data_2AFC/raw_data/data_AC.mat,data2,f,2000,2000,2000,signaled,1,12.24744871391589,150.0,5,"(400, 400, 400, 400, 400)","[[0.1, 0.8999999999999999, 0.5, 0.3, 0.7], [0.1, 0.8999999999999999, 0.5, 0.3, 0.7]]","[[0.1, 0.8999999999999999, 0.5, 0.3, 0.7], [0.1, 0.8999999999999999, 0.5, 0.3, 0.7]]","[[10.0, 1.1111111111111112, 2.0, 3.3333333333333335, 1.4285714285714286], [10.0, 1.1111111111111112, 2.0, 3.3333333333333335, 1.4285714285714286]]",False,False,True,,,,7,"{'tau': array([[10.        ,  1.11111111,  2.        ,  3.33333333,  1.42857143],
       [10.        ,  1.11111111,  2.        ,  3.33333333,  1.42857143]]), 'signaled': 1, 'sigma': 12.24744871391589, 'Hset': array([[0.1, 0.9, 0.5, 0.3, 0.7],
       [0.1, 0.9, 0.5, 0.3, 0.7]]), 'reward': array([], dtype=float64), 'penalty': array([], dtype=float64)}",True,True,34.5,27.0,64.5,27.0
AC:data3,AC,3,False,data/Glaze_Triangles/data_2AFC/raw_data/data_AC.mat,data3,f,2000,2000,2000,mixed,2,10.0,100.0,2,"(1000, 1000)","[[0.1, 0.05], [0.1, 0.05]]","[[0.1, 0.05], [0.1, 0.05]]","[[10, 20], [10, 20]]",False,False,True,,,,7,"{'tau': array([[10, 20],
       [10, 20]], dtype=uint8), 'signaled': 2, 'sigma': 10, 'Hset': array([[0.1 , 0.05],
       [0.1 , 0.05]]), 'reward': array([], dtype=float64), 'penalty': array([], dtype=float64)}",True,True,34.5,27.0,64.5,27.0
AC:data4,AC,4,False,data/Glaze_Triangles/data_2AFC/raw_data/data_AC.mat,data4,f,2000,2000,2000,mixed,2,12.24744871391589,150.0,2,"(1000, 1000)","[[0.1, 0.8999999999999999], [0.1, 0.8999999999999999]]","[[0.1, 0.8999999999999999], [0.1, 0.8999999999999999]]","[[10.0, 1.1111111111111112], [10.0, 1.1111111111111112]]",False,False,True,,,,7,"{'tau': array([[10.        ,  1.11111111],
       [10.        ,  1.11111111]]), 'signaled': 2, 'sigma': 12.24744871391589, 'Hset': array([[0.1, 0.9],
       [0.1, 0.9]]), 'reward': array([], dtype=float64), 'penalty': array([], dtype=float64)}",True,True,34.5,27.0,64.5,27.0
AC:data5_practice,AC,5,True,data/Glaze_Triangles/data_2AFC/raw_data/data_AC.mat,data5_practice,f,120,120,120,unsignaled,0,10.0,100.0,2,"(60, 60)","[[0.95, 0.1], [0.95, 0.1]]","[[0.95, 0.1], [0.95, 0.1]]",[],False,False,True,2.0,20.0,735431.5849272112,7,"{'tau': array([], dtype=float64), 'signaled': 0, 'sigma': 10, 'Hset': array([[0.95, 0.1 ],
       [0.95, 0.1 ]]), 'reward': 2, 'penalty': 20}",True,True,34.5,28.5,64.5,28.5
AC:data5,AC,5,False,data/Glaze_Triangles/data_2AFC/raw_data/data_AC.mat,data5,f,2000,2000,2000,unsignaled,0,10.0,100.0,2,"(1000, 1000)","[[0.95, 0.1], [0.95, 0.1]]","[[0.95, 0.1], [0.95, 0.1]]",[],False,False,True,2.0,20.0,735431.5869416686,7,"{'tau': array([], dtype=float64), 'signaled': 0, 'sigma': 10, 'Hset': array([[0.95, 0.1 ],
       [0.95, 0.1 ]]), 'reward': 2, 'penalty': 20}",True,True,34.5,28.5,64.5,28.5
AC:data6_practice,AC,6,True,data/Glaze_Triangles/data_2AFC/raw_data/data_AC.mat,data6_practice,f,120,120,120,unsignaled,0,12.24744871391589,150.0,5,"(24, 24, 24, 24, 24)","[[0.5, 0.7, 0.1, 0.9, 0.3], [0.5, 0.7, 0.1, 0.9, 0.3]]","[[0.5, 0.7, 0.1, 0.9, 0.3], [0.5, 0.7, 0.1, 0.9, 0.3]]",[],False,False,True,2.0,20.0,735437.7106211078,7,"{'tau': array([], dtype=float64), 'signaled': 0, 'sigma': 12.24744871391589, 'Hset': array([[0.5, 0.7, 0.1, 0.9, 0.3],
       [0.5, 0.7, 0.1, 0.9, 0.3]]), 'reward': 2, 'penalty': 20}",True,True,34.5,28.5,64.5,28.5
AC:data6,AC,6,False,data/Glaze_Triangles/data_2AFC/raw_data/data_AC.mat,data6,f,2000,2000,2000,unsignaled,0,12.24744871391589,150.0,5,"(400, 400, 400, 400, 400)","[[0.5, 0.7, 0.1, 0.9, 0.3], [0.5, 0.7, 0.1, 0.9, 0.3]]","[[0.5, 0.7, 0.1, 0.9, 0.3], [0.5, 0.7, 0.1, 0.9, 0.3]]",[],False,False,True,2.0,20.0,735437.7123032488,7,"{'tau': array([], dtype=float64), 'signaled': 0, 'sigma': 12.24744871391589, 'Hset': array([[0.5, 0.7, 0.1, 0.9, 0.3],
       [0.5, 0.7, 0.1, 0.9, 0.3]]), 'reward': 2, 'penalty': 20}",True,True,34.5,28.5,64.5,28.5
AH1:data1_practice,AH1,1,True,data/Glaze_Triangles/data_2AFC/raw_data/data_AH1.mat,data1_practice,m,120,120,120,mixed,2,7.0710678118654755,50.00000000000001,2,"(60, 60)","[[0.1, 0.95], [0.1, 0.95]]","[[0.1, 0.95], [0.1, 0.95]]",[],False,False,True,1.0,20.0,735440.4650457257,3,"{'sigma': 7.0710678118654755, 'signaled': 2, 'Hset': array([[0.1 , 0.95],
       [0.1 , 0.95]]), 'reward': 1, 'penalty': 20}",True,True,34.5,28.5,64.5,28.5
AH1:data1,AH1,1,False,data/Glaze_Triangles/data_2AFC/raw_data/data_AH1.mat,data1,m,2000,2000,2000,mixed,2,7.0710678118654755,50.00000000000001,2,"(1000, 1000)","[[0.1, 0.95], [0.1, 0.95]]","[[0.1, 0.95], [0.1, 0.95]]",[],False,False,True,1.0,20.0,735440.4680121386,3,"{'sigma': 7.0710678118654755, 'signaled': 2, 'Hset': array([[0.1 , 0.95],
       [0.1 , 0.95]]), 'reward': 1, 'penalty': 20}",True,True,34.5,28.5,64.5,28.5
